;Michelin;Slug;Bookable;Street;ZipCode;Locality;Country;Longitude;Latitude;Cantidad_metodos_pago;Reservas_today;Reservas_last_week;Rate_Distinction;Numero_fotos;Is_Affiliated;Name;Average_Price;Numero_awards;Review_count;Rating_count;Food_rating;Service_rating;Ambience_rating;Tipo_comida;Provincia;Poblacion;Salario Medio Anual
0;True;quimbaya-by-edwin-rodriguez;True;Calle de Zurbano, 63;28010;Madrid;Spain;-3.6933476;40.4362881;5;0;32;Excellent;17;True;QUIMBAYA by Edwin Rodríguez;125.0;1;255.0;479.0;9.7;9.9;9.5;Colombian;madrid;6751251;26721
1;False;welkhomeclub;True;Calle del Monte Esquinza, 15;28010;Madrid;Spain;-3.6923368;40.4271431;7;0;115;Excellent;14;True;WELKHOMEclub;23.0;0;3318.0;7977.0;9.3;9.5;9.3;Fusion;madrid;6751251;26721
2;False;le-petit-dim-sum-lagasca;True;Calle de Lagasca, 48;28001;Madrid;Spain;-3.685200799999999;40.4259801;3;7;57;Excellent;8;True;Le Petit Dim Sum Lagasca;30.0;0;24.0;99.0;9.0;9.3;9.1;Asian;madrid;6751251;26721
3;False;yakiniku-rikyu;True;Paseo de la Castellana, 15;28046;Madrid;Spain;-3.69017;40.4281099;6;0;140;Excellent;11;True;Yakiniku Rikyu;55.0;0;824.0;2590.0;9.6;9.3;9.4;Asian;madrid;6751251;26721
4;False;la-mordida-de-bernabeu;True;Av. de Brasil, 6;28020;Madrid;Spain;-3.6928977;40.4540678;7;9;234;Excellent;14;True;La Mordida de Bernabeu;25.0;0;907.0;3047.0;9.1;9.3;9.2;Mexican;madrid;6751251;26721
5;False;sakana;True;C. de Gaztambide, 11;28015;Madrid;Spain;-3.715924;40.4315323;5;0;231;Excellent;28;True;Sakana;25.0;0;1411.0;4105.0;9.5;9.4;9.2;Japanese;madrid;6751251;26721
6;False;ottica;True;Calle del Padre Claret, 1;28002;Madrid;Spain;-3.6655044;40.4441902;8;0;14;Fabulous;10;True;Ottica;25.0;0;357.0;850.0;8.7;8.8;8.8;Mediterranean;madrid;6751251;26721
7;False;radhuni-indian;True;Calle Príncipe Carlos, 21;28050;Madrid;Spain;-3.6562519;40.493341;6;2;70;Excellent;6;True;Radhuni Indian;17.0;0;4735.0;9707.0;9.6;9.6;9.3;Indian;madrid;6751251;26721
8;False;anauco-canaveral;True;C. de Mayorazgo de Duarte, 283;28052;Madrid;Spain;-3.5520881;40.4087089;6;4;69;Fabulous;7;True;Anauco Cañaveral;20.0;0;27.0;91.0;9.0;8.8;8.9;American;madrid;6751251;26721
9;False;le-petit-dim-sum-canalejas;True;C. de Alcalá, 12;28014;Madrid;Spain;-3.7008587;40.41718669999999;3;6;60;Excellent;11;True;Le Petit Dim Sum Canalejas;28.0;0;88.0;307.0;9.1;9.0;8.9;Asian;madrid;6751251;26721
