TIPO DE COMIDA;BANDERA
MEDITERRANEA;https://upload.wikimedia.org/wikipedia/commons/1/1a/Olea_europaea_subsp._europaea_range.svg
GALLEGA;https://upload.wikimedia.org/wikipedia/commons/6/64/Flag_of_Galicia.svg
ASTURIANA;https://upload.wikimedia.org/wikipedia/commons/3/3e/Flag_of_Asturias.svg
ESPAÑOLA;https://upload.wikimedia.org/wikipedia/commons/8/89/Bandera_de_Espa%C3%B1a.svg
ITALIANA;https://upload.wikimedia.org/wikipedia/commons/0/03/Flag_of_Italy.svg
CATALANA;https://upload.wikimedia.org/wikipedia/commons/c/ce/Flag_of_Catalonia.svg
INDONESIA;https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_Indonesia.svg
ARMENIA;https://upload.wikimedia.org/wikipedia/commons/2/2f/Flag_of_Armenia.svg
VENEZOLANA;https://upload.wikimedia.org/wikipedia/commons/0/06/Flag_of_Venezuela.svg
COREANA;https://upload.wikimedia.org/wikipedia/commons/0/09/Flag_of_South_Korea.svg
PORTUGUESA;https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Portugal.svg
INDIA;https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_India.svg
PAKISTANÍ;https://upload.wikimedia.org/wikipedia/commons/3/32/Flag_of_Pakistan.svg
URUGUAYA;https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Uruguay.svg
PERUANA;https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Peru.svg
HAWAIANA;https://upload.wikimedia.org/wikipedia/commons/e/ef/Flag_of_Hawaii.svg
BELGA;https://upload.wikimedia.org/wikipedia/commons/6/65/Flag_of_Belgium.svg
VEGANA;https://upload.wikimedia.org/wikipedia/commons/5/5b/Vegan_friendly_icon.svg
